,Día,Fecha,Hora,Local,xG,Marcador,Visitante,Asistencia,Sedes,Árbitro,Informe del partido
168,Mié,2023-01-25,20:30 ,Leverkusen,,,Bochum,,BayArena,,Cara a cara
169,,,,,,,,,,,
170,Vie,2023-01-27,20:30 ,RB Leipzig,,,Stuttgart,,Red Bull Arena,,Cara a cara
171,Sáb,2023-01-28,15:30 ,Hoffenheim,,,M'Gladbach,,PreZero Arena,,Cara a cara
172,Sáb,2023-01-28,15:30 ,Freiburg,,,Augsburg,,Europa-Park Stadion,,Cara a cara
173,Sáb,2023-01-28,15:30 ,Mainz 05,,,Bochum,,Mewa Arena,,Cara a cara
174,Sáb,2023-01-28,15:30 ,Werder Bremen,,,Wolfsburg,,Wohninvest-Weserstadion,,Cara a cara
175,Sáb,2023-01-28,15:30 ,Hertha BSC,,,Union Berlin,,Olympiastadion Berlin,,Cara a cara
176,Sáb,2023-01-28,18:30 ,Bayern Munich,,,Eint Frankfurt,,Allianz Arena,,Cara a cara
177,Dom,2023-01-29,15:30 ,Schalke 04,,,Köln,,Veltins-Arena,,Cara a cara
178,Dom,2023-01-29,17:30 ,Leverkusen,,,Dortmund,,BayArena,,Cara a cara
179,,,,,,,,,,,
180,Vie,2023-02-03,20:30 ,Augsburg,,,Leverkusen,,WWK Arena,,Cara a cara
181,Sáb,2023-02-04,15:30 ,Eint Frankfurt,,,Hertha BSC,,Deutsche Bank Park,,Cara a cara
182,Sáb,2023-02-04,15:30 ,Bochum,,,Hoffenheim,,Vonovia Ruhrstadion,,Cara a cara
183,Sáb,2023-02-04,15:30 ,Köln,,,RB Leipzig,,RheinEnergieSTADION,,Cara a cara
184,Sáb,2023-02-04,15:30 ,Dortmund,,,Freiburg,,Signal Iduna Park,,Cara a cara
185,Sáb,2023-02-04,15:30 ,Union Berlin,,,Mainz 05,,Stadion An der Alten Försterei,,Cara a cara
186,Sáb,2023-02-04,18:30 ,M'Gladbach,,,Schalke 04,,Stadion im Borussia-Park,,Cara a cara
187,Dom,2023-02-05,15:30 ,Stuttgart,,,Werder Bremen,,Mercedes-Benz Arena,,Cara a cara
188,Dom,2023-02-05,17:30 ,Wolfsburg,,,Bayern Munich,,Volkswagen Arena,,Cara a cara
189,,,,,,,,,,,
